National Park,Month,Total,Visitors,Visitor Type
Grand Canyon,Sep,399321,297608,Day-Only
Rocky Mountain,Sep,521233,500874,Day-Only
Acadia,Sep,667301,638580,Day-Only
Grand Teton,Sep,579888,460235,Day-Only
Yosemite,Sep,356030,208143,Day-Only
Indiana Dunes,Sep,343696,338919,Day-Only
Glacier,Sep,533388,492895,Day-Only
Great Smoky Mountains,Oct,1633547,1569818,Day-Only
Zion,Oct,469379,442096,Day-Only
Yellowstone,Oct,316662,277969,Day-Only
Grand Canyon,Oct,430734,340296,Day-Only
Rocky Mountain,Oct,352736,344544,Day-Only
Acadia,Oct,557624,546351,Day-Only
Grand Teton,Oct,247945,232856,Day-Only
Yosemite,Oct,284611,198523,Day-Only
Indiana Dunes,Oct,253640,251247,Day-Only
Glacier,Oct,149564,146126,Day-Only
Great Smoky Mountains,Nov,1155227,1129010,Day-Only
Zion,Nov,308560,289486,Day-Only
Yellowstone,Nov,33144,29864,Day-Only
Grand Canyon,Nov,346971,283195,Day-Only
Rocky Mountain,Nov,164992,163233,Day-Only
Acadia,Nov,81089,81089,Day-Only
Grand Teton,Nov,61674,61674,Day-Only
Yosemite,Nov,185213,124384,Day-Only
Indiana Dunes,Nov,144881,144856,Day-Only
Glacier,Nov,26300,26048,Day-Only
Great Smoky Mountains,Dec,856808,850074,Day-Only
Zion,Dec,211983,199041,Day-Only
Yellowstone,Dec,37749,31961,Day-Only
Grand Canyon,Dec,280593,231228,Day-Only
Rocky Mountain,Dec,124388,123783,Day-Only
Acadia,Dec,14381,14381,Day-Only
Grand Teton,Dec,51800,51690,Day-Only
Yosemite,Dec,129273,87375,Day-Only
Indiana Dunes,Dec,102448,102448,Day-Only
Glacier,Dec,17629,17581,Day-Only
