ParkName,Month,OvernightType,Number
Grand Canyon,Aug,Concessioner Lodging,33968
Grand Canyon,Aug,Concessioner Camping,3919
Grand Canyon,Aug,Tent Campers,11177
Grand Canyon,Aug,RV Campers,5583
Grand Canyon,Aug,Backcountry Campers,33503
Grand Canyon,Sep,Misc Overnight Stay,1320
Grand Canyon,Sep,Concessioner Lodging,41006
Grand Canyon,Sep,Concessioner Camping,2956
Grand Canyon,Sep,Tent Campers,13400
Grand Canyon,Sep,RV Campers,6487
Grand Canyon,Sep,Backcountry Campers,36544
Grand Canyon,Oct,Misc Overnight Stay,1325
Grand Canyon,Oct,Concessioner Lodging,35445
Grand Canyon,Oct,Concessioner Camping,2765
Grand Canyon,Oct,Tent Campers,12779
Grand Canyon,Oct,RV Campers,5986
Grand Canyon,Oct,Backcountry Campers,32138
Grand Canyon,Nov,Misc Overnight Stay,547
Grand Canyon,Nov,Concessioner Lodging,32006
Grand Canyon,Nov,Concessioner Camping,2993
Grand Canyon,Nov,Tent Campers,5939
Grand Canyon,Nov,RV Campers,2479
Grand Canyon,Nov,Backcountry Campers,19812
Grand Canyon,Dec,Misc Overnight Stay,0
Grand Canyon,Dec,Concessioner Lodging,32209
Grand Canyon,Dec,Concessioner Camping,2190
Grand Canyon,Dec,Tent Campers,2190
Grand Canyon,Dec,RV Campers,1038
Grand Canyon,Dec,Backcountry Campers,11737
Rocky Mountain,Jan,Misc Overnight Stay,0
Rocky Mountain,Jan,Concessioner Lodging,0
Rocky Mountain,Jan,Concessioner Camping,0
Rocky Mountain,Jan,Tent Campers,198
Rocky Mountain,Jan,RV Campers,186
Rocky Mountain,Jan,Backcountry Campers,63
Rocky Mountain,Feb,Misc Overnight Stay,0
Rocky Mountain,Feb,Concessioner Lodging,0
Rocky Mountain,Feb,Concessioner Camping,0
Rocky Mountain,Feb,Tent Campers,186
Rocky Mountain,Feb,RV Campers,273
Rocky Mountain,Feb,Backcountry Campers,44
Rocky Mountain,Mar,Misc Overnight Stay,0
Rocky Mountain,Mar,Concessioner Lodging,0
Rocky Mountain,Mar,Concessioner Camping,0
Rocky Mountain,Mar,Tent Campers,435
Rocky Mountain,Mar,RV Campers,351
Rocky Mountain,Mar,Backcountry Campers,65
Rocky Mountain,Apr,Misc Overnight Stay,0
Rocky Mountain,Apr,Concessioner Lodging,0
Rocky Mountain,Apr,Concessioner Camping,0
Rocky Mountain,Apr,Tent Campers,1278
Rocky Mountain,Apr,RV Campers,1311
Rocky Mountain,Apr,Backcountry Campers,141
Rocky Mountain,May,Misc Overnight Stay,0
Rocky Mountain,May,Concessioner Lodging,0
Rocky Mountain,May,Concessioner Camping,0
Rocky Mountain,May,Tent Campers,3915
Rocky Mountain,May,RV Campers,2562
Rocky Mountain,May,Backcountry Campers,1974
Rocky Mountain,Jun,Misc Overnight Stay,0
Rocky Mountain,Jun,Concessioner Lodging,0
Rocky Mountain,Jun,Concessioner Camping,0
Rocky Mountain,Jun,Tent Campers,11589
Rocky Mountain,Jun,RV Campers,6144
Rocky Mountain,Jun,Backcountry Campers,6835
Rocky Mountain,Jul,Misc Overnight Stay,0
Rocky Mountain,Jul,Concessioner Lodging,0
Rocky Mountain,Jul,Concessioner Camping,0
Rocky Mountain,Jul,Tent Campers,12606
Rocky Mountain,Jul,RV Campers,5985
